uid,m2,bdmbidprice,treatment,bought_ao
1041042E,W1,0,,0
1041085E,W1,40,,0
1041200E,W1,240,,1
1041199E,W1,240,,1
1004012,W2,,3,0
1005024,W1,290,1,1
1031029,W1,140,3,1
1039023,W1,40,1,0
1041093E,W2,,,1
1039120F,W1,0,,0
2014017,W1,40,2,0
1030029,W1,,2,0
2040012,W2,,1,0
1004213F,W2,,,1
1037024,W1,290,3,1
2007002,W2,,1,0
2015020,W1,140,3,1
1022010,W1,490,2,1
1041067E,W1,40,,0
1010014,W1,90,3,0
1038018,W2,,3,1
1023105F,W2,,,1
1033120F,W1,40,,0
1041014E,W1,40,,0
1041037E,W1,0,,0
1010003,W1,390,3,1
1041068E,W1,40,,0
2014037,W2,,1,0
1023115F,W1,0,,0
1002025,W1,40,2,0
1034024,W1,240,2,1
1033108F,W2,,,1
2014024,W1,40,3,0
1001012,W1,,2,0
1011028,W1,40,2,0
1041086E,W1,0,,0
1041196E,W1,0,,0
1041033E,W2,,,0
2021030,W1,290,1,1
2014009,W1,40,3,0
2021015,W1,90,3,0
1041043E,W1,0,,0
2025026,W2,,1,0
2040009,W1,140,1,1
1041153E,W2,,,0
1019041,W1,90,3,0
1030001,W2,,1,0
1033007,W2,,1,0
2036004,W2,,2,1
1005014,W1,90,1,1
1034125F,W1,40,,0
1041144E,W2,,,0
1041126E,W1,290,,1
2036026,W1,190,1,0
1038006,W1,40,3,0
1030031,W1,90,3,1
1034026,W1,290,2,0
1041158E,W1,40,,0
1033109F,W1,40,,1
1005020,W1,140,1,0
1006031,W2,,1,0
2021017,W2,,2,0
1011125F,W1,0,,0
1006004,W1,190,2,1
2012015,W2,,2,0
1041109E,W1,40,,0
1023203F,W1,40,,1
1030120F,W1,40,,0
1037113F,W2,,,0
1001103F,W1,40,,1
1030111F,W2,,,0
2017034,W1,190,3,1
1039208F,W1,40,,0
1030208F,W1,40,,1
1031014,W1,290,2,0
1033022,W1,,3,0
1011104F,W1,40,,0
1041039E,W1,40,,0
1019214F,W1,40,,0
1022029,W2,,3,0
1004023,W1,90,1,1
1034034,W1,90,2,0
1004116F,W1,40,,0
1011037,W1,90,3,0
2035027,W2,,3,0
1033029,W1,40,1,1
1030011,W1,240,2,1
1030203F,W1,0,,0
2040026,W1,490,1,1
1030128F,W1,40,,0
1041004E,W1,90,,0
1041008E,W2,,,0
1030115F,W1,40,,0
1004019,W2,,3,1
1038118F,W1,90,,0
2018013,W1,40,1,0
1006120F,W2,,,1
1030104F,W1,40,,0
2026023,W1,40,3,0
1031111F,W2,,,0
2012020,W1,,1,0
2018024,W2,,2,0
1034020,W2,,3,0
1041052E,W1,40,,0
2017028,W1,40,2,0
1031117F,W2,,,0
1005109F,W1,90,,0
1033006,W1,40,1,0
2013032,W1,40,3,0
1034117F,W1,140,,1
1034012,W1,40,3,0
1022113F,W1,40,,0
1041099E,W1,0,,0
2021029,W2,,1,0
1004007,W1,,1,0
1041035E,W2,,,0
1022023,W1,40,1,0
2007005,W1,40,3,1
1022202F,W1,40,,0
1041071E,W1,40,,0
1041041E,W2,,,0
1031001,W2,,3,1
1023125F,W2,,,0
2028010,W2,,3,0
1034130F,W1,40,,0
1041054E,W1,190,,1
1034124F,W2,,,0
1016112F,W1,40,,0
1022025,W1,40,2,0
2014004,W2,,3,0
1016003,W2,,3,1
2017006,W2,,2,0
1022114F,W1,40,,0
1022011,W1,90,1,0
2024008,W2,,1,1
1041058E,W1,40,,0
1010036,W2,,1,1
2014018,W1,40,1,1
1016118F,W1,140,,0
2017030,W2,,1,0
2021011,W1,40,1,0
1038002,W1,40,3,1
1034009,W1,240,3,1
1002004,W1,90,1,0
1039103F,W1,0,,0
2036020,W1,40,3,0
1019008,W1,190,3,0
2015008,W2,,3,0
1041072E,W1,40,,0
2040039,W2,,2,0
1037008,W1,140,1,1
2024007,W1,490,3,1
1031005,W2,,3,0
1016028,W2,,3,1
2013008,W1,190,1,0
2017015,W1,40,3,1
2025022,W1,90,2,0
2036009,W2,,1,0
1039025,W1,40,3,0
1038029,W1,290,3,1
1023004,W1,40,2,0
2025014,W2,,3,0
1002022,W1,190,2,0
1027030,W1,40,3,1
2041141E,W1,90,,1
2007001,W2,,1,1
2041090E,W2,,,0
1032016,W1,90,3,1
1032006,W1,40,2,0
2041117E,W1,40,,1
1032028,W1,140,3,1
2021010,W1,90,3,1
2020013,W2,,3,1
2020035,W2,,3,1
2026014,W1,40,1,0
1033009,W1,190,2,1
2013020,W1,40,2,0
2029113F,W1,90,,1
2029108F,W2,,,1
1001024,W2,,1,0
1001017,W1,40,3,0
2029006,W1,290,2,1
2008209F,W2,,,0
1023037,W1,,1,0
1002011,W2,,1,0
2041057E,W1,40,,0
2008116F,W1,40,,0
2021207F,W1,0,,0
2008113F,W1,40,,0
2029127F,W1,40,,1
2008128F,W1,90,,0
2029107F,W1,90,,0
2009030,W1,140,3,0
2015030,W2,,1,0
1010007,W2,,2,0
2014117F,W1,40,,0
1031012,W1,40,1,0
2029112F,W1,40,,0
1010004,W1,140,3,1
2008122F,W1,140,,1
2008117F,W2,,,0
2007022,W1,40,1,0
1039008,W1,140,2,1
2014135F,W1,40,,0
1037032,W2,,2,1
2029217F,W1,40,,1
2028016,W1,40,1,0
1027034,W1,90,2,1
2021105F,W2,,,0
1005027,W1,40,3,0
2029128F,W1,40,,0
2041033E,W2,,,0
2018030,W1,90,2,0
2008123F,W2,,,1
1005131F,W1,40,,0
1030006,W2,,2,0
1010128F,W1,40,,0
2036003,W1,,1,0
1016114F,W1,390,,1
1041028E,W1,190,,1
1041091E,W1,90,,0
1039020,W1,,3,0
1041056E,W1,40,,1
1006202F,W1,290,,1
1004029,W1,90,1,1
1011110F,W1,40,,0
2013005,W2,,3,1
1010124F,W1,240,,0
1010205F,W1,140,,0
1041026E,W1,90,,1
2036010,W2,,3,0
1032124F,W1,90,,0
1002117F,W1,40,,0
1030005,W1,90,1,0
1030008,W1,,3,0
1041027E,W1,90,,1
1041016E,W1,90,,0
1039006,W1,,1,0
2003027,W1,90,1,0
2009011,W1,,1,0
1041133E,W2,,,0
1011211F,W1,190,,0
1030016,W1,,3,0
2021002,W2,,3,0
1011108F,W1,90,,0
1022016,W1,40,3,0
1010207F,W2,,,0
1011124F,W1,190,,0
1016121F,W1,40,,0
1019007,W2,,3,1
2029005,W2,,1,0
1006022,W2,,3,0
2035017,W1,40,2,0
1038028,W2,,1,1
1019024,W1,490,3,0
1002002,W1,40,1,0
1039129F,W1,90,,1
1027137F,W1,140,,0
2029015,W2,,1,0
2014016,W1,490,2,0
1006003,W1,40,2,0
1041090E,W1,40,,0
2026022,W1,40,2,1
1004022,W1,90,2,0
2028017,W1,190,3,1
1034102F,W1,40,,0
1033004,W1,90,2,0
1005115F,W2,,,0
2025023,W2,,1,0
2013002,W2,,2,1
2013023,W2,,3,0
1027032,W1,40,3,0
2028024,W1,140,2,0
1041040E,W1,90,,0
1011114F,W1,140,,1
2015033,W2,,2,0
1041096E,W1,40,,0
2012040,W1,40,1,0
1041122E,W1,40,,0
1032005,W1,40,3,0
1038007,W1,90,1,0
1041001E,W1,240,,1
1019205F,W1,90,,1
1011006,W1,40,2,0
1039031,W1,,3,0
1022129F,W1,190,,1
1011202F,W2,,,1
1030002,W1,40,2,0
1022034,W2,,3,0
2013007,W1,,2,0
1041117E,W1,190,,1
1041154E,W1,190,,1
2018011,W1,240,1,1
1041057E,W1,40,,1
2012003,W2,,1,0
1034027,W1,40,1,1
1032013,W1,240,1,1
2014023,W1,140,3,0
1041143E,W1,0,,0
1034028,W1,40,1,0
2007014,W1,40,3,1
2018032,W1,40,2,0
1001113F,W1,40,,0
2025013,W1,90,1,0
1001120F,W1,40,,0
1031015,W2,,3,1
1027033,W2,,2,0
2014035,W2,,3,1
2035019,W1,190,3,0
1031030,W2,,1,1
1037010,W2,,3,0
2036033,W2,,1,1
2036006,W1,190,3,0
1031102F,W2,,,1
1027005,W1,140,3,1
2009118F,W2,,,0
1011026,W1,40,3,0
2028107F,W1,90,,0
1022005,W1,40,3,0
2035038,W1,40,3,0
2041075E,W1,140,,1
2017036,W1,40,1,0
2020007,W2,,1,0
2003122F,W1,40,,0
1019032,W1,190,2,0
2003101F,W1,90,,0
1031028,W2,,1,0
2009001,W1,140,2,1
2025115F,W1,240,,1
2008014,W1,490,2,1
2003119F,W1,40,,0
2041200E,W2,,,0
2014030,W2,,1,0
2040102F,W2,,,0
2041098E,W1,0,,0
2041139E,W1,0,,0
2003127F,W1,90,,0
1004018,W1,0,1,0
2041044E,W1,40,,0
2029024,W1,90,3,0
1039026,W2,,3,0
2041081E,W1,40,,0
2013014,W1,240,2,0
2003120F,W1,40,,0
1004027,W2,,1,0
2026111F,W1,290,,1
2041039E,W1,140,,0
2041062E,W1,140,,0
2041052E,W2,,,0
2025009,W2,,1,1
2029010,W1,490,2,1
1039017,W2,,1,0
2003109F,W1,40,,0
2012101F,W1,190,,0
1033018,W2,,1,0
1010008,W1,90,3,1
1041136E,W1,0,,0
1030004,W1,240,3,1
1004015,W1,190,1,1
1030015,W1,,2,0
2041058E,W1,40,,0
