uid,m2,bdmbidprice,treatment,bought_ao
2009209F,W1,240,,1
1037016,W1,40,1,1
1027019,W1,390,1,0
2029205F,W1,40,,0
2007118F,W1,90,,0
1006020,W1,40,1,0
1032027,W1,140,1,1
2041038E,W1,40,,0
1001040,W1,40,2,1
2021204F,W1,40,,0
2007207F,W1,90,,1
2020008,W1,40,2,0
1032031,W1,40,2,0
2018005,W2,,2,0
1023012,W1,40,3,1
2041086E,W2,,,0
1011013,W1,140,3,1
1031033,W1,240,2,1
2025214F,W1,40,,0
2015011,W2,,1,1
1001025,W1,40,1,0
2008018,W2,,1,0
2041007E,W1,40,,0
2007036,W1,190,1,1
1037030,W1,190,2,1
2017035,W1,40,1,1
2025124F,W1,40,,0
1033016,W1,,1,0
1038034,W1,,1,0
1002030,W2,,3,1
2036019,W1,290,1,1
2007208F,W1,190,,1
2036105F,W1,90,,1
2036011,W1,40,2,0
2029013,W2,,2,1
1037006,W1,,2,0
2020103F,W1,490,,1
1039013,W2,,1,0
1023027,W1,40,2,0
1027027,W1,140,3,0
1016021,W1,40,3,0
1010016,W1,90,1,0
2041003E,W1,40,,0
2036025,W1,190,2,0
1031018,W1,40,2,1
1030027,W1,40,3,0
2040030,W1,190,3,1
1038031,W1,240,3,1
2029027,W2,,2,1
1004014,W1,40,2,0
1011024,W2,,1,0
2020209F,W2,,,1
1039028,W1,40,3,0
1033015,W2,,3,1
2020020,W2,,1,0
2024111F,W1,390,,1
1010021,W2,,1,0
2024010,W1,40,3,0
2020112F,W1,40,,0
1001011,W2,,2,0
2020101F,W1,90,,0
2041018E,W1,40,,0
2007106F,W1,40,,0
2012037,W1,,1,0
2014012,W1,490,1,1
2020135F,W1,0,,0
1004020,W2,,1,0
2041028E,W2,,,0
2028032,W2,,2,0
2041128E,W1,40,,0
2012124F,W2,,,0
2014206F,W1,40,,1
2029210F,W1,40,,0
1010001,W2,,1,0
2041008E,W1,40,,1
1038013,W1,390,2,1
2029007,W2,,2,0
